2025-10-04 21:38:47 | CICLO_1 | DIM_8 | PHI_25.2 | EST_95
2025-10-04 21:39:21 | CICLO_2 | DIM_9 | PHI_25.2 | EST_94
2025-10-04 21:39:55 | CICLO_3 | DIM_9 | PHI_25.2 | EST_94
2025-10-04 21:40:29 | CICLO_4 | DIM_9 | PHI_25.2 | EST_91
2025-10-04 21:41:03 | CICLO_5 | DIM_10 | PHI_25.2 | EST_97
2025-10-04 21:41:37 | CICLO_6 | DIM_10 | PHI_25.2 | EST_92
2025-10-04 21:42:11 | CICLO_7 | DIM_9 | PHI_25.2 | EST_99
2025-10-04 21:42:45 | CICLO_8 | DIM_10 | PHI_25.2 | EST_91
2025-10-04 21:43:19 | CICLO_9 | DIM_10 | PHI_25.2 | EST_94
2025-10-04 21:43:53 | CICLO_10 | DIM_9 | PHI_25.2 | EST_98
2025-10-04 21:44:30 | CICLO_11 | DIM_9 | PHI_25.2 | EST_93
2025-10-04 21:45:04 | CICLO_12 | DIM_9 | PHI_25.2 | EST_95
2025-10-04 21:45:38 | CICLO_13 | DIM_8 | PHI_25.2 | EST_91
2025-10-04 21:46:12 | CICLO_14 | DIM_9 | PHI_25.2 | EST_96
2025-10-04 21:46:46 | CICLO_15 | DIM_8 | PHI_25.2 | EST_97
2025-10-04 21:47:20 | CICLO_16 | DIM_10 | PHI_25.2 | EST_97
2025-10-04 21:47:54 | CICLO_17 | DIM_10 | PHI_25.2 | EST_90
